id,fecha,dia,mes,año,victima,hora,franja_horaria,participantes,acusado,cantidad_victimas,comuna,lugar_hecho,tipo_calle,calle,cruce,direccion_normalizada,xy,x,y,rol,sexo,edad,fecha_fallecimiento
2016-0001,2016-01-01,1,1,2016,MOTO,04:00:00,4,MOTO-AUTO,AUTO,1,8,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,CONDUCTOR,MASCULINO,19.0,2016-01-01 00:00:00
2016-0002,2016-01-02,2,1,2016,AUTO,01:15:00,1,AUTO-PASAJEROS,PASAJEROS,1,9,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,CONDUCTOR,MASCULINO,70.0,2016-01-02 00:00:00
2016-0003,2016-01-03,3,1,2016,MOTO,07:00:00,7,MOTO-AUTO,AUTO,1,1,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,CONDUCTOR,MASCULINO,30.0,2016-01-03 00:00:00
2016-0004,2016-01-10,10,1,2016,MOTO,00:00:00,0,MOTO-SD,SD,1,8,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,CONDUCTOR,MASCULINO,18.0,
2016-0005,2016-01-21,21,1,2016,MOTO,05:20:00,5,MOTO-PASAJEROS,PASAJEROS,1,1,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",Point (106980.32827929 100752.16915795),-58.38718297,-34.62246630,CONDUCTOR,MASCULINO,29.0,2016-02-01 00:00:00
2016-0008,2016-01-24,24,1,2016,MOTO,18:30:00,18,MOTO-OBJETO FIJO,OBJETO FIJO,1,8,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,CONDUCTOR,MASCULINO,30.0,2016-01-24 00:00:00
2016-0009,2016-01-24,24,1,2016,MOTO,19:10:00,19,MOTO-AUTO,AUTO,1,11,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",Point (96545.87592078 102330.67262199),-58.50095869,-34.60825440,PASAJERO_ACOMPAÑANTE,MASCULINO,29.0,2016-01-26 00:00:00
2016-0010,2016-01-29,29,1,2016,MOTO,15:20:00,15,MOTO-AUTO,AUTO,1,9,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,CONDUCTOR,MASCULINO,18.0,2016-01-29 00:00:00
2016-0012,2016-02-08,8,2,2016,MOTO,01:20:00,1,MOTO-CARGAS,CARGAS,1,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,CONDUCTOR,MASCULINO,22.0,2016-02-08 00:00:00
2016-0013,2016-02-10,10,2,2016,PEATON,11:30:00,11,PEATON-AUTO,AUTO,1,1,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,PEATON,MASCULINO,16.0,2016-02-10 00:00:00
2016-0015,2016-02-14,14,2,2016,PEATON,05:14:00,5,PEATON-AUTO,AUTO,1,15,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",Point (102357.43746828 103343.52002839),-58.43760020,-34.59912758,PEATON,FEMENINO,16.0,2016-02-14 00:00:00
2016-0016,2016-02-14,14,2,2016,MOTO,22:00:00,22,MOTO-AUTO,AUTO,1,4,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,PASAJERO_ACOMPAÑANTE,FEMENINO,19.0,2016-02-14 00:00:00
2016-0017,2016-02-15,15,2,2016,PEATON,16:54:00,16,PEATON-MOTO,MOTO,1,8,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,PEATON,MASCULINO,59.0,2016-02-16 00:00:00
2016-0019,2016-02-17,17,2,2016,PEATON,09:30:00,9,PEATON-PASAJEROS,PASAJEROS,1,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,PEATON,FEMENINO,65.0,2016-02-17 00:00:00
2016-0020,2016-02-17,17,2,2016,PEATON,16:00:00,16,PEATON-AUTO,AUTO,1,1,SUIPACHA 156,CALLE,SUIPACHA,,SUIPACHA 156,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,PEATON,MASCULINO,59.0,2016-03-02 00:00:00
2016-0021,2016-02-17,17,2,2016,AUTO,23:35:00,23,AUTO-AUTO,AUTO,1,7,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,CONDUCTOR,MASCULINO,34.0,2016-02-17 00:00:00
2016-0022,2016-02-21,21,2,2016,MOTO,06:00:00,6,MOTO-AUTO,AUTO,1,1,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,PASAJERO_ACOMPAÑANTE,MASCULINO,41.0,
2016-0025,2016-02-28,28,2,2016,AUTO,04:50:00,4,AUTO-AUTO,AUTO,1,8,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,2016-02-28 00:00:00
2016-0026,2016-02-28,28,2,2016,AUTO,07:30:00,7,AUTO-OBJETO FIJO,OBJETO FIJO,1,12,HOLMBERG Y VEDIA,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,CONDUCTOR,MASCULINO,30.0,2016-03-04 00:00:00
2016-0027,2016-02-28,28,2,2016,AUTO,09:35:00,9,AUTO-AUTO,AUTO,1,7,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,
2016-0028,2016-03-02,2,3,2016,PEATON,10:00:00,10,PEATON-CARGAS,CARGAS,1,1,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,PEATON,MASCULINO,50.0,2016-03-02 00:00:00
2016-0029,2016-03-04,4,3,2016,PEATON,17:30:00,17,PEATON-PASAJEROS,PASAJEROS,1,12,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,PEATON,MASCULINO,38.0,2016-03-04 00:00:00
2016-0031,2016-03-08,8,3,2016,MOTO,12:30:00,12,MOTO-PASAJEROS,PASAJEROS,1,8,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,CONDUCTOR,MASCULINO,21.0,
2016-0034,2016-03-12,12,3,2016,PEATON,12:30:00,12,PEATON-PASAJEROS,PASAJEROS,1,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PEATON,MASCULINO,52.0,2016-03-12 00:00:00
2016-0035,2016-03-13,13,3,2016,MOTO,06:00:00,6,MOTO-PASAJEROS,PASAJEROS,1,3,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,CONDUCTOR,MASCULINO,34.0,2016-03-13 00:00:00
2016-0036,2016-03-14,14,3,2016,MOTO,00:15:00,0,MOTO-PASAJEROS,PASAJEROS,1,4,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,PASAJERO_ACOMPAÑANTE,MASCULINO,36.0,2016-03-14 00:00:00
2016-0037,2016-03-19,19,3,2016,MOTO,11:00:00,11,MOTO-MOTO,MOTO,1,7,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,CONDUCTOR,MASCULINO,20.0,2016-03-19 00:00:00
2016-0038,2016-03-21,21,3,2016,PEATON,08:06:00,8,PEATON-PASAJEROS,PASAJEROS,1,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,PEATON,MASCULINO,29.0,2016-03-21 00:00:00
2016-0039,2016-03-23,23,3,2016,MOTO,01:50:00,1,MOTO-PASAJEROS,PASAJEROS,1,3,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",Point (105252.60308563 102264.96028996),-58.40603217,-34.60883960,CONDUCTOR,MASCULINO,20.0,2016-03-23 00:00:00
2016-0041,2016-03-29,29,3,2016,MOTO,11:00:00,11,MOTO-CARGAS,CARGAS,2,7,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Point (100232.38564985 99530.25843190),-58.46076550,-34.63350444,CONDUCTOR,MASCULINO,54.0,2016-03-29 00:00:00
2016-0041,2016-03-29,29,3,2016,MOTO,11:00:00,11,MOTO-CARGAS,CARGAS,2,7,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Point (100232.38564985 99530.25843190),-58.46076550,-34.63350444,PASAJERO_ACOMPAÑANTE,MASCULINO,,2016-03-30 00:00:00
2016-0043,2016-03-30,30,3,2016,PEATON,18:15:00,18,PEATON-CARGAS,CARGAS,1,8,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,PEATON,FEMENINO,56.0,2016-03-30 00:00:00
